[INFO ] [2023-05-23 22:10:30,561] Register - Step 1: Click to register link
[INFO ] [2023-05-23 22:10:31,445] Register - Step 2: Enter the first name
[INFO ] [2023-05-23 22:11:07,173] Login - Step 1: Click to Login link to clear data
[INFO ] [2023-05-23 22:17:53,521]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:17:53,525]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:17:53,612]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:22:33,863]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:22:33,867]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:22:33,942]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:47:20,938]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:47:20,941]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:50:47,136]  -------------------------- PASSED -------------------------- 
[INFO ] [2023-05-23 22:50:47,142]  -------------------------- PASSED -------------------------- 
